Customer Name,Street Address,Unit,City,State,ZIP,Latitude,Longitude
La Bonne Maison,367 California St.,Suite 2,Newton,MA,02458,42.3653496,-71.2039313
La Fabrica,450 Massachusetts Ave,,Cambridge,MA,02139,42.3636315,-71.1010503
La Gallina,1150 Market St.,,Lynnfield,MA,01940,42.5174672,-71.0353442
La Stalla Osteria & Bar,559 Washington St.,,Stoughton,MA,03072,42.1308425,-71.1020297
Land & Sea Provisions,140 Corporate Park Drive,,Pembroke,MA,02359,42.1009246,-70.7716383
Mastro's Ocean Club,25 Fan Pier Boulevard,,Boston,MA,02210,42.3526878,-71.0462844
The Langham Boston,250 Franklin Street,,Boston,MA,02134,42.3612724,-71.1314223
Le Madeline / Pho Linh,409 Hancock Street,,Quincy,MA,02171,42.273166,-71.025524
Little Harbor Lobster Company,3 Beacon St.,,Marblehead,MA,01945,42.5119906,-70.8446772
Little Sage,352 Hanover St.,,Boston,MA,02113,42.3651141,-71.0533835
Little Whale Oyster Bar,314 Newbury St.,,Boston,MA,02115,42.3485997,-71.0853232
Lucca Boston North End,226 Hanover St,,Boston,MA,02113,42.363134,-71.0553013
B & G Oyster,550 Tremont Street,,Boston,MA,02118,42.3439016,-71.0712751
Drink,348 Congress St.,,Boston,MA,02210,42.3506548,-71.0486328
Menton,354 Congress St.,,Boston,MA,02210,42.3504945,-71.0483935
No. 9 Park,9 Park Street,,Boston,MA,02132,42.2870814,-71.1595133
Sportello,348 Congress St.,,Boston,MA,02210,42.3506548,-71.0486328
The Butcher Shop,552 Tremont Street,,Boston,MA,02118,42.3437189,-71.0714108
The Rudder Gloucester,73 Rocky Neck Ave,,Gloucester,MA,01930,42.6074111,-70.6563061
Mahaniyom,236 Washington Street,,Brookline,MA,02445,42.3326339,-71.1187699
Mahoney's Rocky Ledge LLC,242 Cambridge St.,,Winchester,MA,01890,42.4543654,-71.1595402
Renaissance Boston Waterfront Hotel,606 Congress St,,Boston,MA,02210,42.3479524,-71.0396228
Marriott Cambridge,50 Broadway,,Cambridge,MA,02139,42.3665525,-71.0928961
Renaissance Boston Waterfront Hotel,606 Congress St,,Boston,MA,02210,42.3479524,-71.0396228
Sheraton Boston Hotel,39 Dalton Street,,Boston,MA,02199,42.3461794,-71.0834767
Maruichi Brookline,306 Harvard St,,Brookline,MA,02446,42.3428763,-71.1226597
Maruichi Select,299 Harvard St,,Brookline,MA,02446,42.3430554,-71.1224304
Masons Steakhouse,1170 Hancock St.,,Quincy,MA,02169,42.2534172,-71.0047422
Matsu Nori Inc,900 Beacon St,Unit A Key Lock Box 0900 ,Boston,MA,02215,42.3468335,-71.105759
McGuirk's Folly Deliver to Middlesex Lounge,315 Massachusetts Ave,,Cambridge,MA,02238,42.3625181,-71.0985303
Meghan Thompson,81 Lake Shore Dr.,,Bellingham,MA,02174,42.4306686,-71.149773
Meta,100 Binney St,,Cambridge,MA,02142,42.3651393,-71.0808838
Mida East Boston,65 Lewis Street,,East Boston,MA,02128,42.3674449,-71.0425629
Mida -NEWTON,261 Walnut St,,Newton,MA,02460,42.3424501,-71.2063073
Mida - South End,782 Tremont St.,,Boston,MA,02118,42.3390224,-71.0804718
Mike Betts,21 Linden Place,#2,Brookline,MA,02446,42.3349727,-71.117456
Millie's Food Service Sylvia Ferrante,291 Reservoir Ave,,Revere,MA,02150,42.4110177,-71.0237574
Mission on the Bay,141 Humphrey St.,,Swampscott,MA,01907,42.4678147,-70.9171868
Moeca Restaurant,1 Shepard St,,Cambridge,MA,02140,42.3816501,-71.1213293
Mojo Sushi,316 Main St.,,Wakefield,MA,01880,42.5054109,-71.0713751
Momi Nonmi,1128 Cambridge St.,,Cambridge,MA,02139,42.3730271,-71.0961609
Momma's Grocery+Wine,2304 Massachusetts Ave,,Cambridge,MA,02140,42.3951684,-71.128003
Montachusett Regional Voc Tech School Dis,1050 Westminster St,,Fitchburg,MA,01420,42.5609089,-71.8595513
"Monument Farm, LLC",175 Monument Farm Rd.,,Concord,MA,01742,42.4984062,-71.3362168
Monument,251 Main St.,,Charlestown,MA,02145,42.3848765,-71.0746211
Waverly,231 Bunker Hill Street,,Charlestown,MA,02129,42.3794795,-71.0633001
Moona,243 Hampshire St,,Cambridge,MA,02143,42.3742988,-71.1009114
Cussers Roast Beef,304 Stuart St.,,Boston,MA,02116,42.3498265,-71.0706161
Moonbar,129 Columbus Ave,,Boston,MA,02119,42.3140876,-71.0962602
